date,product_id,sales,price,promotion,region,year,month,week,day_of_week,quarter,is_weekend,sales_lag_7,sales_lag_30,rolling_mean_7,rolling_mean_30,product_id_enc,region_enc
2021-01-31,P002,440,16.61,0,West,2021,1,4,6,1,1,153.0,286.0,291.7142857142857,260.8333333333333,1,3
2021-02-01,P003,228,25.28,1,South,2021,2,5,0,1,0,484.0,91.0,255.14285714285714,265.4,2,2
2021-02-02,P002,91,56.78,0,East,2021,2,5,1,1,0,88.0,138.0,255.57142857142858,263.8333333333333,1,0
2021-02-03,P002,497,40.33,0,West,2021,2,5,2,1,0,484.0,451.0,257.42857142857144,265.3666666666667,1,3
2021-02-04,P003,64,84.6,0,West,2021,2,5,3,1,0,247.0,345.0,231.28571428571428,256.0,2,3
2021-02-05,P002,160,48.78,0,North,2021,2,5,4,1,0,183.0,377.0,228.0,248.76666666666668,1,1
2021-02-06,P003,206,32.38,0,East,2021,2,5,5,1,1,116.0,344.0,240.85714285714286,244.16666666666666,2,0
2021-02-07,P003,338,65.54,0,South,2021,2,5,6,1,1,440.0,153.0,226.28571428571428,250.33333333333334,2,2
2021-02-08,P001,280,73.61,0,East,2021,2,6,0,1,0,228.0,63.0,233.71428571428572,257.56666666666666,0,0
2021-02-09,P003,460,25.03,0,East,2021,2,6,1,1,0,91.0,337.0,286.42857142857144,261.6666666666667,2,0
2021-02-10,P001,469,25.09,0,East,2021,2,6,2,1,0,497.0,228.0,282.42857142857144,269.7,0,0
2021-02-11,P003,206,13.3,1,East,2021,2,6,3,1,0,64.0,174.0,302.7142857142857,270.76666666666665,2,0
2021-02-12,P003,87,76.28,1,East,2021,2,6,4,1,0,160.0,471.0,292.2857142857143,257.96666666666664,2,0
2021-02-13,P001,490,69.74,0,North,2021,2,6,5,1,1,206.0,402.0,332.85714285714283,260.9,0,1
2021-02-14,P001,146,52.72,1,North,2021,2,6,6,1,1,338.0,72.0,305.42857142857144,263.3666666666667,0,1
2021-02-15,P003,460,85.98,0,West,2021,2,7,0,1,0,280.0,112.0,331.14285714285717,274.96666666666664,2,3
2021-02-16,P002,488,82.51,0,North,2021,2,7,1,1,0,460.0,192.0,335.14285714285717,284.8333333333333,1,1
2021-02-17,P001,338,62.68,1,West,2021,2,7,2,1,0,469.0,202.0,316.42857142857144,289.3666666666667,0,3
2021-02-18,P002,303,88.14,0,West,2021,2,7,3,1,0,206.0,194.0,330.2857142857143,293.0,1,3
2021-02-19,P002,245,28.53,0,South,2021,2,7,4,1,0,87.0,274.0,352.85714285714283,292.03333333333336,1,2
2021-02-20,P002,135,20.07,1,East,2021,2,7,5,1,1,490.0,499.0,302.14285714285717,279.9,1,0
