Year,Month,Avg_Weekly_Sales
2010,2,1037519.191328125
2010,3,1010665.5694444445
2010,4,1028499.4135555556
2010,5,1037282.9685555556
2010,6,1068034.290888889
2010,7,1033689.4487999999
2010,8,1042445.0605000001
2010,9,984821.6465
2010,10,965163.6623111111
2010,11,1126963.1674444445
2010,12,1283380.1454222223
2011,1,909466.482388889
2011,2,1035174.0437222222
2011,3,996424.7127222222
2011,4,1006784.4932
2011,5,1009156.4342222222
2011,6,1054296.584388889
2011,7,1021828.4394222222
2011,8,1047774.0680555556
2011,9,981545.5040888889
2011,10,1018118.2397222222
2011,11,1167568.6381666667
2011,12,1280347.1221333335
2012,1,938302.6203333333
2012,2,1067019.8863333333
2012,3,1028931.7799555556
2012,4,1049560.588611111
2012,5,1048702.663611111
2012,6,1069379.241288889
2012,7,1041719.18
2012,8,1052670.069688889
2012,9,1003586.3581666667
2012,10,1024231.5578888889
