Store,Avg_Sales,Total_Sales,Max_Sales
1,1554641.6757042252,220759117.95,2387950.2
2,1924263.7430985915,273245451.52,3436007.68
3,402289.52711267606,57125112.85,605990.41
4,2094428.2359859154,297408809.51,3676388.98
5,318017.71690140845,45158515.8,507900.07
6,1564109.1235211268,222103495.54,2727575.18
7,571137.673943662,81101549.7,1059715.27
8,908077.7749295775,128947044.04,1511641.09
9,543941.6439436619,77239713.44,905324.68
10,1897356.7967605633,269424665.14,3749057.69
11,1355174.494084507,192434778.16,2306265.36
12,1008360.4491549296,143187183.78,1768249.89
13,2003876.6427464788,284550483.27,3595903.2
14,2016735.502746479,286376441.39,3818686.45
15,623109.5878873239,88481561.48,1368318.17
16,519542.3669014084,73775016.1,1004730.69
17,894317.6254225352,126993102.81,1309226.79
18,1083869.2021830988,153909426.71,2027507.15
19,1444557.9220422537,205127224.93,2678206.42
20,2105608.4295070423,298996396.99,3766687.43
21,755769.6129577465,107319285.04,1587257.78
22,1028469.2338028168,146042631.2,1962445.04
23,1390041.523028169,197385896.27,2734277.1
24,1356530.251056338,192627295.65,2386015.75
25,706929.208028169,100383947.53999999,1295391.19
26,1002599.9325531916,141366590.49,1573982.47
27,1774725.279219858,250236264.37,3078162.08
28,1319378.4382978724,186032359.8,2026026.39
29,539457.1820422534,76602919.85,1130926.79
30,437974.4824822695,61754402.03,519354.88
31,1394331.249787234,196600706.22,2068942.97
32,1167433.0769503545,164608063.85,1959526.96
33,259508.83475177307,36590745.7,331173.51
34,966855.8735211267,137293534.04,1620748.25
35,917535.6238028168,130290058.58,1781866.98
36,372849.7762676056,52944668.23,489372.02
37,518779.8140140845,73666733.59,605791.46
38,385923.45267605636,54801130.28,499267.66
39,1452217.927253521,206214945.67,2554482.84
40,963861.7323239438,136868365.99,1648829.18
41,1269404.2373943662,180255401.71,2263722.68
42,556495.5522535212,79022368.42,674919.45
43,633228.2121830985,89918406.13,725043.04
44,302901.3865492958,43011996.89,376233.89
45,785244.0275352113,111504651.91,1682862.03
