Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,year,month,week,quarter,day_of_week,sales_lag_1,sales_lag_4,sales_lag_52,rolling_mean_4,rolling_mean_12
29,2010-02-12,529672.95,1,28.14,2.771,131.5866129,10.064,2010,2,6,1,4,294882.83,1015684.09,890689.51,1032221.7475000002,1176427.6575
34,2010-02-12,994610.99,1,36.13,2.573,126.4962581,9.521,2010,2,6,1,4,529672.95,1558968.49,1034119.21,891132.3725000003,1133675.4758333333
39,2010-02-12,1266229.07,1,44.58,2.548,209.9970208,8.554,2010,2,6,1,4,994610.99,1745362.72,1874289.79,771348.9600000002,1039078.2758333333
36,2010-02-12,469563.7,1,46.11,2.539,209.9970208,8.554,2010,2,6,1,4,1266229.07,294882.83,1672352.29,815019.1775000002,1011659.0941666667
37,2010-02-12,529852.7,1,46.11,2.548,209.9970208,8.554,2010,2,6,1,4,469563.7,529672.95,538634.46,815064.1150000002,964142.9550000001
38,2010-02-12,342214.9,1,47.87,2.946,126.4962581,13.975,2010,2,6,1,4,529852.7,994610.99,465108.52,651965.0925000003,899030.3533333334
40,2010-02-12,955338.29,1,20.84,2.771,131.5866129,5.892,2010,2,6,1,4,342214.9,1266229.07,1469252.05,574242.3975000002,849979.6083333333
41,2010-02-12,1075656.34,1,23.04,2.572,189.4642725,7.541,2010,2,6,1,4,955338.29,469563.7,1087616.19,725765.5575000003,898169.7558333334
42,2010-02-12,575709.96,1,49.96,2.828,126.4962581,9.765,2010,2,6,1,4,1075656.34,529852.7,274593.43,737229.8725000003,861505.245
43,2010-02-12,682918.99,1,47.99,2.548,203.2010968,9.521,2010,2,6,1,4,575709.96,342214.9,956228.96,822405.8950000003,788501.12
44,2010-02-12,286857.13,1,33.16,2.671,126.4962581,8.119,2010,2,6,1,4,682918.99,955338.29,1230613.5,655285.6050000002,666958.9875
25,2010-02-12,583364.02,1,19.64,2.773,204.3857472,8.187,2010,2,6,1,4,286857.13,1075656.34,467546.74,532212.5250000003,690999.0866666667
35,2010-02-12,1168815.31,1,29.81,2.773,135.4113076,9.262,2010,2,6,1,4,583364.02,575709.96,536006.73,680488.8625000003,744260.9500000001
45,2010-02-12,656988.64,1,27.73,2.773,181.982317,8.992,2010,2,6,1,4,1168815.31,682918.99,358496.14,674006.2750000003,716125.7541666668
24,2010-02-12,1414107.1,1,25.94,2.94,131.5866129,8.326,2010,2,6,1,4,656988.64,286857.13,1230596.8,955818.7675000003,728448.9233333333
22,2010-02-12,1022571.25,1,28.14,2.771,135.4113076,8.283,2010,2,6,1,4,1414107.1,583364.02,1001943.8,1065620.5750000002,774532.8858333334
23,2010-02-12,1380892.08,1,18.75,2.771,131.5866129,5.892,2010,2,6,1,4,1022571.25,1168815.31,1086533.18,1118639.7675000003,845452.8341666666
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,1,4,1380892.08,656988.64,543384.01,1364881.9675000003,953764.7125
2,2010-02-12,2137809.5,1,38.49,2.548,210.8979935,8.324,2010,2,6,1,4,1641957.44,1414107.1,647029.28,1545807.5675000004,1052303.98
3,2010-02-12,420728.96,1,47.93,2.548,214.5747916,7.368,2010,2,6,1,4,2137809.5,1022571.25,281090.95,1395346.9950000003,997726.6983333334
4,2010-02-12,2188307.39,1,28.84,2.573,126.4962581,8.623,2010,2,6,1,4,420728.96,1380892.08,677231.63,1597200.8225000002,1132109.8175000001
5,2010-02-12,311825.7,1,39.81,2.548,211.8004698,6.566,2010,2,6,1,4,2188307.39,1641957.44,1388725.63,1264667.8875000004,1101185.3766666667
6,2010-02-12,1606283.86,1,40.57,2.548,212.7700425,7.259,2010,2,6,1,4,311825.7,2137809.5,1643690.9,1131786.4775000003,1211137.6041666667
7,2010-02-12,524104.92,1,25.9,2.572,189.4642725,9.014,2010,2,6,1,4,1606283.86,420728.96,1033017.37,1157630.4675000003,1206199.3458333334
8,2010-02-12,994801.4,1,33.34,2.548,214.6214189,6.299,2010,2,6,1,4,524104.92,2188307.39,2136989.46,859253.9700000002,1191698.1866666668
9,2010-02-12,552677.48,1,37.08,2.548,214.8056534,6.415,2010,2,6,1,4,994801.4,311825.7,461622.22,919466.9150000003,1183005.59
10,2010-02-12,2176028.52,1,49.96,2.828,126.4962581,9.765,2010,2,6,1,4,552677.48,1606283.86,2135143.87,1061903.08,1246499.0416666667
12,2010-02-12,1117863.33,1,47.87,2.946,126.4962581,13.975,2010,2,6,1,4,2176028.52,524104.92,317173.1,1210342.6825,1254440.0483333333
21,2010-02-12,809321.44,1,37.77,2.548,210.8979935,8.324,2010,2,6,1,4,1117863.33,994801.4,1652635.1,1163972.6925000001,1206809.1616666666
13,2010-02-12,2030933.46,1,33.16,2.671,126.4962581,8.316,2010,2,6,1,4,809321.44,552677.48,496725.44,1533536.6875000002,1239223.83
14,2010-02-12,1704218.84,1,27.73,2.773,181.982317,8.992,2010,2,6,1,4,2030933.46,2176028.52,1004137.09,1415584.2675,1203091.2750000001
15,2010-02-12,682447.1,1,22.0,2.94,131.5866129,8.35,2010,2,6,1,4,1704218.84,1117863.33,549505.55,1306730.2100000002,1224901.1199999999
16,2010-02-12,472044.28,1,20.87,2.572,189.4642725,7.039,2010,2,6,1,4,682447.1,809321.44,2193048.75,1222410.92,1081879.1941666666
17,2010-02-12,841951.91,1,18.36,2.671,126.4962581,6.548,2010,2,6,1,4,472044.28,2030933.46,1528008.64,925165.5325000002,1126056.3783333332
18,2010-02-12,1187880.7,1,26.41,2.771,131.5866129,9.202,2010,2,6,1,4,841951.91,1704218.84,1364721.58,796080.9975,1091189.4483333335
